,year,film,wiki,winner,Acting,Production Design,Directing,VFX,Writing,Cinematography,Sound,Film Editing,Music
552,2020,Promising Young Woman,/wiki/Promising_Young_Woman,False,1,0,1,0,1,0,0,1,0
553,2020,Sound of Metal,/wiki/Sound_of_Metal,False,1,0,0,0,1,0,1,1,0
554,2020,The Trial of the Chicago 7,/wiki/The_Trial_of_the_Chicago_7,False,0,0,0,0,1,1,0,1,1
559,2021,Dune,/wiki/Dune_(2021_film),False,0,1,0,1,1,1,1,1,1
561,2021,Licorice Pizza,/wiki/Licorice_Pizza,False,0,0,1,0,1,0,0,0,0
562,2021,Nightmare Alley,/wiki/Nightmare_Alley_(2021_film),False,0,1,0,0,0,1,0,0,0
563,2021,The Power of the Dog,/wiki/The_Power_of_the_Dog_(film),False,1,1,1,0,1,1,1,1,1
560,2021,King Richard,/wiki/King_Richard_(film),False,1,0,0,0,1,0,0,1,1
558,2021,Drive My Car,/wiki/Drive_My_Car_(film),False,0,0,1,0,1,0,0,0,0
231,2021,West Side Story,/wiki/West_Side_Story_(2021_film),False,0,1,1,0,1,1,1,1,1
556,2021,Belfast,/wiki/Belfast_(film),False,0,0,1,0,1,0,1,0,1
555,2021,CODA,/wiki/CODA_(2021_film),True,0,0,0,0,1,0,0,0,0
557,2021,Don't Look Up,/wiki/Don%27t_Look_Up,False,0,0,0,0,1,0,0,1,1
568,2022,The Fabelmans,/wiki/The_Fabelmans,False,1,1,1,0,1,0,0,0,1
570,2022,Top Gun: Maverick,/wiki/Top_Gun:_Maverick,False,0,0,0,1,1,0,1,1,1
569,2022,Tár,/wiki/T%C3%A1r,False,1,0,1,0,1,1,0,1,0
567,2022,Elvis,/wiki/Elvis_(2022_film),False,1,1,0,0,0,1,1,1,0
11,2022,All Quiet on the Western Front,/wiki/All_Quiet_on_the_Western_Front_(2022_film),False,0,1,0,1,1,1,1,0,1
565,2022,Avatar: The Way of Water,/wiki/Avatar:_The_Way_of_Water,False,0,1,0,1,0,0,1,0,0
564,2022,Everything Everywhere All at Once,/wiki/Everything_Everywhere_All_at_Once,True,1,0,1,0,1,0,0,1,1
10,2022,All Quiet on the Western Front,/wiki/All_Quiet_on_the_Western_Front_(2022_film),False,0,1,1,1,1,1,1,0,1
571,2022,Triangle of Sadness,/wiki/Triangle_of_Sadness,False,0,0,1,0,1,0,0,0,0
566,2022,The Banshees of Inisherin,/wiki/The_Banshees_of_Inisherin,False,1,0,1,0,1,0,0,1,1
572,2022,Women Talking,/wiki/Women_Talking_(film),False,0,0,0,0,1,0,0,0,0
